TPU_ID,YEAR,nearest_mtr_distance,nearest_mtr_station,nearest_mtr_lat,nearest_mtr_lon,mtr_stations_count,has_mtr_station,mtr_proximity_category,within_500m_buffer,within_1000m_buffer,within_2000m_buffer
920,2016,12448.50248075157,Disneyland Resort,22.3155,114.0451,0,False,Far (>2km),False,False,False
920,2016,12645.17082910177,Disneyland Resort,22.3155,114.0451,0,False,Far (>2km),False,False,False
911,2016,5792.76968752614,South Horizons,22.2425,114.1491,0,False,Far (>2km),False,False,False
920,2016,12786.686808198288,Tung Chung,22.2893,113.9416,0,False,Far (>2km),False,False,False
933,2016,11484.841163552037,Tung Chung,22.2893,113.9416,0,False,Far (>2km),False,False,False
920,2016,13049.59359617708,Disneyland Resort,22.3155,114.0451,0,False,Far (>2km),False,False,False
911,2016,5141.719531305751,South Horizons,22.2425,114.1491,0,False,Far (>2km),False,False,False
920,2016,12687.357838176713,Disneyland Resort,22.3155,114.0451,0,False,Far (>2km),False,False,False
920,2016,12679.961963483724,Disneyland Resort,22.3155,114.0451,0,False,Far (>2km),False,False,False
934,2016,15164.383740918982,Tung Chung,22.2893,113.9416,0,False,Far (>2km),False,False,False
934,2016,15000.391264892747,Tung Chung,22.2893,113.9416,0,False,Far (>2km),False,False,False
913,2016,11592.34951307818,Chai Wan,22.2644,114.2368,0,False,Far (>2km),False,False,False
920,2016,12038.672479835817,South Horizons,22.2425,114.1491,0,False,Far (>2km),False,False,False
920,2016,12044.757817473737,Disneyland Resort,22.3155,114.0451,0,False,Far (>2km),False,False,False
911,2016,4463.034554105341,South Horizons,22.2425,114.1491,0,False,Far (>2km),False,False,False
195,2016,5051.989376294104,Ocean Park,22.2486,114.1743,0,False,Far (>2km),False,False,False
195,2016,5366.626682698701,Ocean Park,22.2486,114.1743,0,False,Far (>2km),False,False,False
911,2016,3729.501970116459,South Horizons,22.2425,114.1491,0,False,Far (>2km),False,False,False
912,2016,4031.329976728823,South Horizons,22.2425,114.1491,0,False,Far (>2km),False,False,False
193,2016,4475.259937733553,Ocean Park,22.2486,114.1743,0,False,Far (>2km),False,False,False
193,2016,4455.834711970725,Ocean Park,22.2486,114.1743,0,False,Far (>2km),False,False,False
912,2016,3234.1195977218167,South Horizons,22.2425,114.1491,0,False,Far (>2km),False,False,False
195,2016,5007.21291634182,Ocean Park,22.2486,114.1743,0,False,Far (>2km),False,False,False
920,2016,10886.904356052844,Disneyland Resort,22.3155,114.0451,0,False,Far (>2km),False,False,False
912,2016,5141.024297101821,South Horizons,22.2425,114.1491,0,False,Far (>2km),False,False,False
942,2016,12394.107677004917,Tung Chung,22.2893,113.9416,0,False,Far (>2km),False,False,False
920,2016,10636.784389485494,Disneyland Resort,22.3155,114.0451,0,False,Far (>2km),False,False,False
195,2016,4653.679486369855,Ocean Park,22.2486,114.1743,0,False,Far (>2km),False,False,False
197,2016,4037.164394393631,Chai Wan,22.2644,114.2368,0,False,Far (>2km),False,False,False
941,2016,10183.680869581587,Tung Chung,22.2893,113.9416,0,False,Far (>2km),False,False,False
912,2016,3544.5146473274367,South Horizons,22.2425,114.1491,0,False,Far (>2km),False,False,False
192,2016,3127.6575289659145,Ocean Park,22.2486,114.1743,0,False,Far (>2km),False,False,False
931,2016,9924.167599212946,Disneyland Resort,22.3155,114.0451,0,False,Far (>2km),False,False,False
197,2016,4055.8717723123605,Chai Wan,22.2644,114.2368,0,False,Far (>2km),False,False,False
174,2016,1277.3035891235786,Lei Tung,22.2421,114.1562,0,False,Moderate (1-2km),False,False,True
196,2016,6182.748039765798,Chai Wan,22.2644,114.2368,0,False,Far (>2km),False,False,False
193,2016,4761.882943918246,Ocean Park,22.2486,114.1743,0,False,Far (>2km),False,False,False
920,2016,11482.56007982413,Disneyland Resort,22.3155,114.0451,0,False,Far (>2km),False,False,False
195,2016,5964.858354219976,Chai Wan,22.2644,114.2368,0,False,Far (>2km),False,False,False
193,2016,3817.153732331286,Ocean Park,22.2486,114.1743,0,False,Far (>2km),False,False,False
920,2016,11710.780519346754,Disneyland Resort,22.3155,114.0451,0,False,Far (>2km),False,False,False
942,2016,13484.941711106985,Tung Chung,22.2893,113.9416,0,False,Far (>2km),False,False,False
195,2016,5578.373091857874,Ocean Park,22.2486,114.1743,0,False,Far (>2km),False,False,False
